hitid,uid,ranking
2,241,"[55, 161, 328, 150, 438, 346, 369, 131, 459, 455, 347, 296]"
2,243,"[94, 131, 369, 164, 328, 161, 346, 347]"
2,244,"[346, 328, 369, 438, 455, 347, 161, 131, 150, 164]"
2,250,"[161, 346, 438, 347, 328, 164, 455]"
2,252,"[161, 346, 455, 438, 164, 347, 94, 131, 55, 150, 196]"
2,257,"[161, 55, 459, 296, 346, 328, 164, 94, 347, 382]"
2,261,"[94, 164, 296, 382, 161, 346, 369, 455, 438, 131, 380, 55, 413, 209, 459, 150, 328, 10, 196, 347]"
2,263,"[161, 346, 94]"
2,268,"[55, 161, 346, 150, 369, 296, 347, 131, 438, 94, 328, 455, 164, 459]"
2,279,"[382, 164, 347, 296, 161, 438, 455, 346]"
2,281,"[346, 347, 328, 455]"
2,285,"[164, 131, 328, 455, 10]"
2,288,"[328, 346, 161, 150, 296, 455, 347, 369, 55, 164, 209]"
2,296,"[346, 94, 438, 347, 131, 164]"
2,297,"[164, 346, 131, 55, 161, 347]"
2,299,"[346, 161, 328, 455, 164, 347, 55, 94, 296, 369]"
2,308,"[164, 94, 328, 296, 346, 55, 455, 150, 347, 369, 161]"
2,311,"[161, 380, 459, 296, 346, 55, 94, 131, 164, 347]"
2,317,"[161, 328, 347, 438]"
2,318,"[164, 94, 369, 346, 161, 382, 347, 413, 328, 10, 196, 55, 131, 209, 380, 296, 459, 150, 438, 455]"
2,327,"[346, 164, 438, 161, 328, 455, 55, 347, 131, 196, 459, 150, 382, 296, 369]"
2,329,"[150, 455, 196]"
2,330,"[369, 150, 328, 455, 346, 438, 296]"
2,332,"[161, 346, 296, 55, 94, 438, 347, 196, 164, 455, 369, 328, 150]"
2,338,"[328, 346, 347, 55, 94, 369, 161, 459, 150, 438, 455]"
2,343,"[131, 55, 296, 161, 94, 346, 328, 347, 438, 455]"
2,348,"[164, 161, 94, 346, 328, 131, 196, 347, 455, 55, 438]"
3,4,"[406, 46, 349, 116, 295, 186, 395, 231, 244, 450]"
3,7,"[332, 400, 395, 148, 406, 46, 186, 116]"
3,11,"[244, 450, 186, 151, 431, 295, 395, 107]"
3,14,"[244, 431, 349, 231, 395, 46, 406, 116, 186, 216, 295, 107]"
3,27,"[395, 46, 349, 332, 186, 116]"
3,28,"[395, 244, 46, 450, 116, 406, 400, 107, 231]"
3,29,"[151, 244, 231, 46, 406, 295, 116, 332, 216, 395]"
3,34,"[450, 406, 116, 295, 216, 395, 332, 186, 46]"
3,37,"[244, 392, 186, 349, 107, 450, 231, 431, 295, 46, 116, 216, 406, 400]"
3,38,"[395, 231, 46, 431, 295, 116, 107, 148, 450]"
3,39,"[107, 244, 450, 406, 186, 295, 46, 395]"
3,48,"[216, 46, 116]"
3,49,"[107, 406, 349, 395, 231, 431]"
